region_id,Total_Persons_Persons,Median_age_of_persons,Median_total_personal_income_weekly,Median_rent_weekly,Persons_Total_Volunteer,Persons_Year_12_or_equivalent_Total,Born_elsewhere_Persons,No_Internet_connection_Total,Different_usual_address_5_years_ago_Total_Persons,No_Religion_Persons,SA2_NAME,AREA_SQKM
212031300,18622,33,529,250,1500,4906,1142,1440,7499,4509,Cranbourne,13.0266293
212031301,8211,31,639,340,724,2791,491,381,4336,2040,Cranbourne East,42.88919545
212031302,14570,30,616,295,1193,4716,1181,661,6612,3291,Cranbourne North,10.23952792
212031303,6716,39,606,260,730,1918,145,344,2711,1956,Cranbourne South,81.66232236
212031304,8743,29,587,295,593,2525,685,446,3411,1992,Cranbourne West,12.89820888
212031305,23767,32,507,282,1782,8215,3429,1282,7906,3401,Hampton Park - Lynbrook,13.3358655
212031306,11666,31,698,350,927,5145,1200,301,6232,2022,Lynbrook - Lyndhurst,7.379610671
212031307,28594,31,622,330,2646,10301,2972,701,9249,5431,Narre Warren South,13.00317675
212031308,7477,38,581,245,996,1949,88,374,2152,2343,Pearcedale - Tooradin,98.51119777
212041309,11662,41,446,300,1034,5012,1158,814,2589,1441,Clarinda - Oakleigh South,6.322751633
212041310,11625,33,411,295,918,5439,1170,955,3985,1768,Clayton South,7.938549055
212041311,25923,33,375,243,1938,9526,4986,2616,10924,2478,Dandenong,61.79558435
212041312,21910,37,430,260,1827,8355,2675,1690,5985,2525,Dandenong North,9.535355134
212041313,10170,42,606,311,1467,4100,287,593,2425,1942,Dingley Village,7.243484406
212041314,20044,37,484,300,1659,7865,1393,1139,5816,2558,Keysborough,30.27976575
212041315,28377,35,405,250,2347,11334,3355,2785,10104,3535,Noble Park,8.56144131
212041316,7390,38,440,277,517,2849,842,606,1900,936,Noble Park North,3.757857504
212041317,19771,34,352,259,1474,8175,1560,1843,6746,2628,Springvale,11.10578013
212041318,12184,34,383,277,861,4490,770,852,3264,1579,Springvale South,4.559806203
212051319,16252,35,544,320,2121,8492,1002,1083,5854,4068,Ashwood - Chadstone,6.709546388
212051320,17709,27,339,320,2294,11208,1494,991,9934,4849,Clayton,9.411216368
212051321,20722,43,538,380,3529,10985,1023,963,6162,5022,Glen Waverley - East,9.163846139
212051322,18486,40,498,370,2842,9863,891,878,6454,4766,Glen Waverley - West,7.675606295
212051323,14916,42,560,361,2652,7952,568,798,4751,3759,Mount Waverley - North,6.484132346
212051324,17162,41,573,351,2819,8880,716,1070,5454,4119,Mount Waverley - South,8.700772508
212051325,17647,39,543,321,1947,8255,1113,1105,5318,2834,Mulgrave,10.72205583
212051326,20233,35,537,330,2363,9977,1278,1408,6807,4520,Oakleigh - Huntingdale,10.16960456
212051327,19105,44,583,364,2852,9703,1036,930,4431,3658,Wheelers Hill,10.45085009
213011328,7162,34,417,220,545,2820,807,836,2693,1026,Ardeer - Albion,4.588277318
213011329,8839,31,555,325,528,3848,705,286,3173,904,Cairnlea,4.404986678
213011330,22193,31,539,290,1378,8627,2207,1427,9258,2931,Deer Park - Derrimut,21.33614035
