region_id,Median_age_of_persons,Median_mortgage_repayment_monthly,Median_total_personal_income_weekly,Median_rent_weekly,Median_total_family_income_weekly,Average_number_of_Persons_per_bedroom,Median_total_household_income_weekly,Average_household_size,Owned_outright_Total,Owned_with_a_mortgage_Total,Total_Persons_Persons
3105006,37,1900,614,335,1611,1.1,1725,2.8,37,41,337
3105007,44,2817,782,350,2533,1,2312,2.9,70,52,396
3105008,34,1500,470,116,1187,1.1,1017,2.6,51,33,471
3105009,35,2383,533,285,1011,1.1,1134,2.4,40,47,366
3105010,31,2058,767,360,1687,1.1,1382,2,14,49,488
3105011,42,2514,389,102,850,1.1,643,2.1,24,25,330
3105012,34,2275,535,124,1199,1.1,911,2.7,27,50,451
3105013,37,2567,806,355,2312,1,2899,2.9,21,21,147
3105014,40,2170,744,465,2232,1.1,2392,3,71,67,484
3105015,52,1733,621,395,2100,1,1952,2.5,50,54,518
3105101,38,2900,881,800,2984,1,3023,3.3,48,37,327
3105102,39,1733,612,410,1591,1.1,1364,2.6,88,55,516
3105103,44,2109,590,495,1801,1,1674,2.7,95,50,511
3105104,43,2600,604,398,1666,1,1617,2.8,75,46,407
3105105,40,1733,683,430,2382,1,1961,2.8,62,41,346
3105106,40,1755,604,405,1692,1,1368,2.6,61,63,575
3105107,38,2227,1005,750,3143,1,2750,3.5,17,63,341
3105108,38,2850,754,438,1750,1,2175,3.1,24,52,300
3105109,31,2500,850,460,2528,1.1,2666,3.7,13,29,199
3105110,33,2456,704,460,2437,1.1,2456,3.6,33,91,582
3105111,38,3200,650,450,2305,1,2113,3.2,48,23,265
3105112,38,2800,881,0,2892,1.1,2763,3.7,43,35,306
3105113,32,2167,727,420,2184,1,2065,3.3,43,90,587
3105114,40,1874,793,720,2461,1,2374,3.2,36,41,276
3105115,38,2903,788,0,2928,1,2666,3.5,29,27,217
3105116,42,3250,795,388,2437,1,2227,2.8,38,32,250
3105117,40,1100,713,485,2416,1,2230,3.2,69,39,354
3105118,61,2000,494,393,1104,1,597,1.9,164,31,481
3105119,49,1413,595,440,1928,1,1633,2.6,90,50,474
3105120,32,2000,721,400,1478,1.2,1326,2.3,47,31,372
3105121,43,2084,615,455,1779,1,1702,2.7,122,56,602
3105122,41,1984,751,425,2175,1,1730,2.9,51,35,320
3105123,43,2091,687,478,1639,1,1750,2.8,40,22,208
3105124,39,2167,715,595,2176,1,2191,3.3,47,42,351
3105125,46,1700,730,580,2567,1,2537,3.1,103,60,568
3105126,51,2200,610,440,1611,1,1142,2.6,108,39,431
3105127,37,2400,707,578,2374,1,2294,3.1,73,63,480
3105128,40,2000,657,380,2071,1,1794,3.1,91,53,528
3105129,58,0,100,0,2250,2,2250,3,3,0,7
3105130,43,1975,593,475,1799,1,1555,2.9,49,23,258
3105131,45,2035,715,380,2281,1,2211,3.1,48,48,326
3105132,41,2500,605,480,1930,1.1,1262,2,85,48,535
3105134,42,2492,666,105,2607,1,2826,3.4,42,38,299
3105135,41,2037,762,535,2449,1,2321,3.4,60,52,418
3105136,39,1192,674,735,2340,1,2250,2.9,30,41,257
3105137,34,2297,766,500,2410,1,2511,3.5,40,74,495
3105138,37,2100,743,710,2631,1,2774,3.6,62,59,468
3105139,42,1200,622,0,2428,1,2091,3.1,73,67,467
3105140,35,2817,641,570,2677,1.1,2575,3.6,39,47,350
3105141,40,1896,716,525,2629,1,2700,3.4,58,81,514
3105201,34,1600,623,245,1555,1.2,1146,2.2,36,36,470
3105202,29,2400,711,310,1431,1.2,1337,2.2,33,38,502
3105203,31,1918,655,320,1687,1.2,1652,2.2,20,38,321
3105204,31,2100,629,308,1615,1.1,1258,2.3,32,56,514
3105205,32,2000,669,280,1471,1.1,1264,2,26,55,550
3105206,31,2167,763,300,1568,1.1,1168,2,21,40,438
3105207,31,2000,725,315,1615,1.1,1083,1.9,21,36,310
3105208,32,1733,555,285,1691,1.1,1125,2.2,31,25,370
3105209,31,1200,700,315,1750,1.1,1326,2.1,26,52,423
3105210,36,2167,830,350,2454,1,1823,2.4,27,45,310
3105211,40,2167,906,240,2291,1.1,1966,2.8,41,56,378
3105212,28,2817,584,320,1633,1.2,1312,2.9,33,27,382
3105213,31,2000,555,320,1636,1.1,1383,2.6,46,44,447
3105214,29,2150,673,310,1696,1.1,1631,2.4,18,30,284
3105215,30,1890,709,335,1687,1.1,1301,2.1,11,39,237
3105216,30,1984,677,420,2187,1.1,1352,2.7,30,27,334
3105217,35,2174,760,320,2020,1.2,1705,2.4,22,55,409
