region_id,Median_age_of_persons,Median_mortgage_repayment_monthly,Median_total_personal_income_weekly,Median_rent_weekly,Median_total_family_income_weekly,Average_number_of_Persons_per_bedroom,Median_total_household_income_weekly,Average_household_size,Total_Persons_Persons
3134802,32,1733,713,270,1937,1.1,1732,2.8,274
3134803,38,1625,669,350,1462,1.1,1208,2.7,394
3134804,44,1950,702,490,2139,1,2150,2.8,534
3134805,37,1928,657,700,1750,1.1,1976,2.8,0
3134806,34,2080,766,420,2166,1.1,1934,2.9,40
3134807,37,2300,861,340,2454,1,2340,2.6,505
3134808,35,2200,769,403,2050,1.1,1468,2.5,930
3134809,35,2730,1029,490,2848,1,2819,3.3,808
3134810,43,2665,739,380,2012,1.1,2028,2.9,650
3134811,39,1561,719,395,1712,1.1,1548,2.6,614
3134812,43,1733,743,455,2299,1.1,2077,2.8,367
3134813,50,2557,469,450,1093,1,840,2.2,303
3134814,37,2100,788,420,2094,1.1,2097,3.2,404
3134815,37,2167,797,300,2345,1.1,2596,3.4,619
3134816,44,1842,883,483,1849,1,1656,2.8,385
3134817,39,1950,632,0,1583,1.1,1215,3.2,461
3134818,31,1950,881,370,2196,1.1,2187,3,17
3134819,41,1000,616,170,1763,1.1,1720,3,254
3134820,38,2427,888,400,2523,1,2515,3.4,382
3134821,39,1800,576,475,1874,1,1803,2.8,375
3134822,29,2600,932,480,2449,1,2230,2.9,518
3134823,33,2427,924,510,2560,1,2397,3.2,337
3134824,34,2178,787,345,2383,1.1,2091,3.3,496
3134825,32,2600,1130,485,2774,1,2542,3,365
3134901,43,2167,850,450,2696,1,2542,2.9,382
3134902,34,2070,616,280,1406,1.1,1271,2.3,457
3134903,32,2167,715,340,2025,1.1,1424,2.7,480
3134904,32,1950,661,320,1583,1.1,1550,2.9,236
3134905,47,0,686,210,1916,1.3,779,1.4,211
3134906,36,2292,616,250,1364,1.1,1062,2.7,527
3134907,33,1517,648,250,1162,1.1,1196,2.3,333
3134908,32,1733,675,288,1510,1.1,1174,2.4,484
3134909,30,1790,630,241,1176,1.1,1038,2.6,255
3134910,67,2167,441,320,812,1,632,1.8,189
3134911,36,1950,679,350,1785,1.1,1796,2.8,610
3134912,40,1885,560,291,1485,1.2,1025,2.4,327
3134913,46,1950,588,303,1625,1.2,1031,2,0
3134914,37,2167,702,340,1940,1.1,1446,2.7,257
3134915,35,1983,749,360,1292,1.1,1583,2.7,334
3134916,28,2167,670,278,1062,1.2,952,2.4,414
3134917,32,1937,720,330,1603,1.1,1375,2.7,448
3134918,29,1387,666,260,1416,1.2,1187,2.3,549
3134919,46,0,633,400,1031,1.4,866,3.3,598
3135001,35,0,857,300,2150,1,2250,3.4,439
3135002,37,1517,723,300,1600,1.2,1286,2.7,375
3135003,36,1733,680,240,1596,1.2,1221,2.6,322
3135004,44,1733,688,270,1357,1.2,1260,2.1,434
3135005,28,2817,1057,500,2506,1,2560,2.9,3
3135006,42,2084,700,350,1339,1,1636,2.8,275
3135007,31,2167,778,370,1941,1.1,1426,2.8,243
3135008,44,1788,633,370,1169,1,1222,2.6,312
3135009,34,2400,802,390,1981,1,1880,2.8,281
3135010,40,1350,585,75,1687,1.1,1528,2.7,493
3135101,43,1000,485,100,1257,1.2,1091,2.6,504
3135102,41,1257,510,80,1274,1.3,870,2.6,414
3135103,34,1408,483,205,1218,1.1,900,2.5,336
3135104,47,1733,467,150,1406,1.1,1134,2.5,429
3135105,34,2427,618,85,1912,1.1,1690,3,354
3135106,39,2000,488,100,1399,1.2,1171,2.6,245
3135107,40,1995,590,115,1714,1.2,1470,3,446
3135108,34,2184,692,100,1803,1.1,1483,2.8,332
3135109,35,2197,775,180,1833,1.1,1916,2.9,940
3135110,34,1984,704,250,1705,1.1,1593,2.8,496
3135111,27,2600,934,420,2306,1.1,2277,3.1,559
3135112,29,2392,848,340,2150,1.1,1921,3.1,4
3135113,43,1300,655,250,1350,1.2,1093,2.3,0
3135114,28,2383,729,400,2016,1.1,1860,3,0
3135115,51,2167,452,150,1522,1.1,1264,2.4,33
3135201,45,997,654,330,1625,1.1,1325,2.7,236
3135203,34,2300,622,300,1708,1.3,1525,3.5,208
3135204,33,2167,598,300,1589,1.1,1440,2.7,320
3135205,34,1900,510,165,1197,1.2,1183,2.9,282
3135206,45,2006,544,250,1583,1.1,1350,2.4,319
3135207,49,1820,434,210,1086,1.1,755,2,489
3135208,34,1733,560,180,1228,1.1,1274,2.8,472
3135209,37,2167,647,250,1325,1.1,1231,2.5,477
3135210,35,1950,633,300,1466,1.1,1427,2.6,720
3135211,33,2059,552,310,1318,1.2,1312,2.7,453
3135212,39,1900,614,231,1684,1.2,1572,2.9,212
3135213,43,2167,573,315,1328,1.1,1343,2.1,470
3135214,40,2275,747,350,1916,1.1,1931,2.7,314
3135215,35,2383,555,250,1666,1,1275,2.7,315
3135216,44,2000,772,290,1708,1.1,1536,2.6,208
3135217,34,2069,836,370,2181,1.1,2033,2.8,238
3135218,46,1600,658,345,1406,1.1,1410,2.1,435
3135219,38,2000,759,360,2333,1.2,2515,3.1,285
3135220,37,2275,617,170,2115,1.1,1603,2.8,534
3135221,43,2340,728,150,2388,1.1,2113,2.7,646
3135222,37,2000,890,360,2175,1.1,1987,2.7,408
3135223,33,2340,700,310,1777,1.2,1821,3,439
3135224,45,2800,718,300,1963,1.1,1589,2.3,852
3135226,44,2000,610,0,1821,1.1,1375,2.7,484
3135301,60,2167,417,0,1208,1.1,916,1.9,486
3135302,44,1733,662,290,1625,1.1,1156,2.2,0
3135303,42,1292,586,0,1924,1.2,2027,2.9,685
3135305,35,0,615,375,2250,1,833,2,6
3135306,45,1034,510,120,922,1.1,890,2.3,686
3135307,44,1733,487,150,1102,1.3,926,2.5,949
3135308,37,800,388,150,1041,1.2,1300,3,475
3135309,37,1500,560,260,2021,1.1,1545,3,34
3135310,43,2084,835,170,2250,1.1,2013,2.7,521
3135311,38,2600,758,180,1975,1.1,1856,2.8,383
3135312,49,2800,485,280,1041,1.1,887,2.2,411
3135313,39,2600,662,295,2104,1.1,1865,3.2,418
3135314,39,1733,694,0,1654,1.2,1474,3,343
3135315,47,1500,510,375,1444,1.3,1208,2.7,337
3135316,38,1495,522,140,1583,1.2,1178,2.6,1152
3135317,38,2000,384,160,1791,1.1,1025,2.8,1542
3135318,41,1517,500,120,1325,1.1,1031,2.6,547
3135319,47,2100,477,225,931,1.1,905,2.4,477
3135320,48,2100,502,240,921,1.2,930,2.2,733
3135321,45,1733,530,175,1525,1.1,1303,2.4,600
3135322,37,1733,532,100,1230,1.2,1145,2.9,355
3135323,39,2062,636,80,1616,1.2,1646,3,348
3135324,38,1300,459,195,1208,1.3,1178,2.8,580
3135325,37,2029,706,86,2112,1.2,1833,2.8,331
3135326,36,2817,763,115,2077,1.1,1839,3.2,369
3135327,43,2167,606,415,2023,1.2,2019,2.9,345
3135328,41,2817,675,360,1931,1.1,2083,2.9,327
3135401,36,2200,883,400,2227,1,1829,2.7,268
3135402,29,2383,816,420,2026,1.1,1787,2.7,565
3135403,38,2037,652,285,2028,1,1444,2.9,265
3135404,38,1950,954,450,2299,1.1,2016,2.7,501
3135405,34,1749,922,320,2315,1.1,1961,2.8,418
3135406,32,2350,866,350,2307,1,2154,3.2,442
3135407,29,2600,943,470,2449,1,2441,3.2,586
3135408,35,2184,835,300,1321,1.1,1312,2.7,511
3135409,24,3200,966,470,2041,1,1375,3.2,275
3135410,35,1800,684,365,1717,1.2,1590,2.5,506
3135411,36,2000,768,295,1970,1.1,1625,2.9,955
3135412,36,1842,581,335,2036,1.1,1399,2.8,246
3135413,40,2290,820,300,1766,1.3,1517,2.4,472
3135501,43,1680,758,120,1636,1.1,1666,2.5,613
3135502,27,1900,620,330,1416,1.2,1329,2.9,724
3135503,45,3350,868,415,2285,1.1,1727,2.3,494
3135504,36,1700,811,320,1750,1.1,1555,2.7,299
3135505,33,2400,832,283,1676,1.1,1640,2.8,482
3135506,37,1517,703,293,1874,1.1,1446,2.7,3
3135507,27,1950,615,215,1625,1.2,1625,3.2,660
3135508,35,1800,589,250,1856,1.2,1583,2.9,983
3135509,33,2167,614,200,1366,1.1,1178,2.5,434
3135510,37,2200,575,310,1481,1.2,1577,2.8,1349
