sa1,ssc
1108129,10061
1150418,10062
1150417,10062
1150438,10062
1150422,10062
1150419,10062
1150420,10062
1150421,10062
1139042,10063
1139046,10063
1139006,10063
1139019,10063
1139004,10063
1139034,10063
1139049,10063
1139011,10063
1139050,10063
1139013,10063
1139025,10063
1139017,10063
1139021,10063
1139031,10063
1139023,10063
1139016,10063
1139008,10063
1139030,10063
1139036,10063
1139020,10063
1139028,10063
1139001,10063
1139048,10063
1139009,10063
1139026,10063
1139033,10063
1139032,10063
1139003,10063
1139037,10063
1139018,10063
1139022,10063
1139005,10063
1139007,10063
1139040,10063
1139010,10063
1139045,10063
1139041,10063
1139035,10063
1139039,10063
1139027,10063
1139044,10063
1139047,10063
1139052,10063
1139015,10063
1139053,10063
1139002,10063
1139051,10063
1139014,10063
1139024,10063
1139038,10063
1139012,10063
1139043,10063
1119201,10064
1119208,10064
1119202,10064
1119616,10065
1127009,10066
1127006,10066
1127016,10066
1127003,10066
1127010,10066
1127004,10066
1127007,10066
1127021,10066
1127005,10066
1127008,10066
1111555,10067
1111557,10067
1111548,10067
1111551,10067
1111552,10067
1111549,10067
1111523,10067
1111553,10067
1111556,10067
1111559,10067
1111558,10067
1111550,10067
1140325,10068
1140324,10068
1140312,10068
1140313,10068
1140314,10068
1140307,10068
1140323,10068
1140311,10068
1120545,10069
1120507,10069
1147245,10070
1147243,10070
1147220,10070
1147270,10070
1147216,10070
1147274,10070
1147258,10070
1147239,10070
1147238,10070
1147255,10070
1147263,10070
1147230,10070
1147247,10070
1147233,10070
1147222,10070
1147206,10070
1147268,10070
1147208,10070
1147201,10070
1147267,10070
1147251,10070
1147215,10070
1147275,10070
1147217,10070
1147256,10070
1147221,10070
1147225,10070
1147242,10070
1147269,10070
1147246,10070
1147204,10070
1147252,10070
1147262,10070
1147234,10070
1147240,10070
1147248,10070
1147219,10070
1147236,10070
1147244,10070
1147273,10070
1147214,10070
1147211,10070
1147210,10070
1147241,10070
1147259,10070
1147212,10070
1147235,10070
1147213,10070
1147231,10070
1147218,10070
1147207,10070
1147254,10070
1147260,10070
1147271,10070
1147202,10070
1147232,10070
1147272,10070
1147224,10070
1147227,10070
1147249,10070
1147229,10070
1147223,10070
1147226,10070
1147205,10070
1147203,10070
1147253,10070
1147276,10070
1147250,10070
1147264,10070
1147257,10070
1147265,10070
1147228,10070
1147209,10070
1147266,10070
1147237,10070
1147261,10070
1114823,10071
1114820,10071
1114809,10071
1114806,10071
1114830,10071
1114821,10071
1114808,10071
1114807,10071
1150506,10072
1150504,10072
1150502,10072
1150522,10072
1150501,10072
1150503,10072
1150505,10072
1142012,10073
1142030,10073
1142023,10073
1142027,10073
1142013,10073
1142001,10073
1142019,10073
1142021,10073
1142029,10073
1142014,10073
1142025,10073
1142024,10073
1142003,10073
1142026,10073
1142009,10073
1142015,10073
1142020,10073
1142008,10073
1142016,10073
1142010,10073
1142022,10073
1142017,10073
1142011,10073
1142007,10073
1142028,10073
1102805,10074
1102804,10074
1102817,10074
1102809,10074
1102807,10074
1102808,10074
1102818,10074
1102802,10074
1102806,10074
1102803,10074
1121921,10075
1121925,10075
1128623,10076
1119808,10077
1124512,10078
1150515,10079
1128606,10080
1118815,10081
1121601,10082
1121606,10082
1102524,10083
1141833,10084
1141824,10084
1141834,10084
1141825,10084
1141829,10084
1141831,10084
1141830,10084
1141826,10084
1141821,10084
1141827,10084
1141810,10084
1141832,10084
1141823,10084
1141835,10084
1141828,10084
1141836,10085
1141813,10085
1141840,10085
1141812,10085
1141842,10085
1141839,10085
1141838,10085
1141814,10085
1114407,10086
1114405,10086
1114432,10086
1114406,10086
1114423,10086
1114408,10086
1114430,10086
1114424,10086
1114431,10086
1114409,10086
1114422,10086
1114402,10086
1110403,10087
1110318,10088
1123603,10089
1123639,10089
1123638,10089
1123614,10089
1123634,10089
1123601,10089
1123612,10089
1123613,10089
1123646,10089
1123632,10089
1123633,10089
1123602,10089
1123636,10089
1123644,10089
1123605,10089
1123631,10089
1123630,10089
1123635,10089
1123645,10089
1123637,10089
1123619,10089
1123615,10089
1138716,10090
1138714,10090
1138715,10090
1138726,10090
1138713,10090
1138705,10090
1138720,10090
1138739,10090
1138702,10090
1138712,10090
1138707,10090
1138738,10090
1138728,10090
1138732,10090
1138704,10090
1138727,10090
1138701,10090
1138709,10090
1138724,10090
1138723,10090
1138711,10090
1138708,10090
1138722,10090
1138710,10090
1138740,10090
1138717,10090
1138742,10090
1138733,10090
1138735,10091
1138736,10091
1138737,10091
1138741,10091
1138734,10091
1122015,10092
1122016,10092
1128501,10093
1128516,10093
1117908,10094
1117910,10094
1117909,10094
1117907,10094
1111017,10095
1127732,10096
1127707,10096
1123807,10097
1123817,10097
1123816,10097
1123815,10097
1123818,10097
1119302,10098
1153540,10099
1153539,10099
1153551,10099
1153533,10099
1153509,10099
1153552,10099
1153534,10099
1153541,10099
1153542,10099
1153554,10099
1153557,10099
1153532,10099
1153555,10099
1153553,10099
1153536,10099
1138115,10100
1138137,10100
1138110,10100
1138114,10100
1138138,10100
1138109,10100
1138112,10100
1138113,10100
1138111,10100
1132003,10101
1132001,10101
1132002,10101
1135304,10102
1135314,10102
1135313,10102
1135345,10102
1135353,10102
1135325,10102
1135355,10102
1135324,10102
1135364,10102
1135371,10102
1135370,10102
1135329,10102
1135368,10102
1135332,10102
1135323,10102
1135317,10102
1135341,10102
1135360,10102
1135307,10102
