SA1_MAINCODE_2011,SA1_7DIGITCODE_2011,,,,,
10102100823,1100823,,,,,
10102100901,1100901,,,,,
10102100902,1100902,,,,,
10102100903,1100903,,,,,
10102100904,1100904,,,,,
10102100905,1100905,,,,,
10102100906,1100906,,,,,
10102100907,1100907,,,,,
10102100908,1100908,,,,,
10102100909,1100909,,,,,
10102100910,1100910,,,,,
10102100911,1100911,,,,,
10102100912,1100912,,,,,
10102100913,1100913,,,,,
10102100914,1100914,,,,,
10102100915,1100915,,,,,
10102100916,1100916,,,,,
10102100917,1100917,,,,,
10102100918,1100918,,,,,
10102100919,1100919,,,,,
10102100920,1100920,,,,,
10102100921,1100921,,,,,
10102100922,1100922,,,,,
10102101001,1101001,,,,,
10102101002,1101002,,,,,
10102101003,1101003,,,,,
10102101004,1101004,,,,,
10102101005,1101005,,,,,
10102101006,1101006,,,,,
10102101007,1101007,,,,,
10102101008,1101008,,,,,
10102101009,1101009,,,,,
10102101010,1101010,,,,,
10102101011,1101011,,,,,
10102101012,1101012,,,,,
10102101013,1101013,,,,,
10102101014,1101014,,,,,
10102101015,1101015,,,,,
10102101101,1101101,,,,,
10102101102,1101102,,,,,
10102101103,1101103,,,,,
10102101104,1101104,,,,,
10102101105,1101105,,,,,
10102101106,1101106,,,,,
10102101107,1101107,,,,,
10102101108,1101108,,,,,
10102101109,1101109,,,,,
10102101110,1101110,,,,,
10102101111,1101111,,,,,
10102101112,1101112,,,,,
10102101113,1101113,,,,,
10102101114,1101114,,,,,
10102101115,1101115,,,,,
10102101116,1101116,,,,,
10102101117,1101117,,,,,
10102101118,1101118,,,,,
10102101119,1101119,,,,,
10102101120,1101120,,,,,
10102101121,1101121,,,,,
10102101122,1101122,,,,,
10102101123,1101123,,,,,
10102101124,1101124,,,,,
10102101125,1101125,,,,,
10102101126,1101126,,,,,
10102101127,1101127,,,,,
10102101128,1101128,,,,,
10102101129,1101129,,,,,
10102101130,1101130,,,,,
10102101131,1101131,,,,,
10102101132,1101132,,,,,
10102101133,1101133,,,,,
10102101134,1101134,,,,,
10102101135,1101135,,,,,
10102101136,1101136,,,,,
10102101137,1101137,,,,,
10102101138,1101138,,,,,
10102101139,1101139,,,,,
10102101140,1101140,,,,,
10102101201,1101201,,,,,
10102101202,1101202,,,,,
10102101203,1101203,,,,,
10102101204,1101204,,,,,
